iter	MultiClass
901	0.132984363
902	0.1327558568
903	0.1324896142
904	0.1324054053
905	0.1321617447
906	0.1320278865
907	0.1318994605
908	0.1316635307
909	0.1315338445
910	0.1313893633
911	0.1312432477
912	0.1309970374
913	0.1308617963
914	0.1307029757
915	0.1305629712
916	0.1304045846
917	0.1303023934
918	0.1300652931
919	0.1298523945
920	0.129719756
921	0.1295397573
922	0.1293713266
923	0.1291847262
924	0.1290860519
925	0.1289523459
926	0.1287241681
927	0.1285292917
928	0.12839695
929	0.1282037053
930	0.1280358211
931	0.1279217484
932	0.1277189019
933	0.1275991953
934	0.1274489218
935	0.1272584115
936	0.1271601059
937	0.127036711
938	0.1268733915
939	0.1267337411
940	0.1266106872
941	0.1263927543
942	0.1262383309
943	0.1261127065
944	0.125944035
945	0.1258057934
946	0.1256763723
947	0.1255581018
948	0.1253300311
949	0.1251920988
950	0.1249821996
951	0.1248408096
952	0.1246063579
953	0.1244097145
954	0.1242831349
955	0.1241866359
956	0.1239145044
957	0.1236306278
958	0.1235036403
959	0.1233119866
960	0.1231146572
961	0.1229359912
962	0.1228196483
963	0.1226625766
964	0.1224975971
965	0.1223242649
966	0.1221628869
967	0.1219839794
968	0.1218676008
969	0.1217273558
970	0.1215554824
971	0.1213999467
972	0.1212322085
973	0.1211218353
974	0.1210147897
975	0.1208843258
976	0.120812953
977	0.1206660068
978	0.1205021295
979	0.1203912156
980	0.1202566113
981	0.1200732169
982	0.1199976433
983	0.1197930735
984	0.1196772268
985	0.1195267356
986	0.1194091077
987	0.1192867309
988	0.1191468013
989	0.1190139926
990	0.1188870163
991	0.1187885941
992	0.1186880803
993	0.1185789
994	0.1184591402
995	0.1182621662
996	0.1181781152
997	0.1180673842
998	0.1179958578
999	0.1178667805
